Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,08/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,Cérémonie officielle d'obsèques des victimes de l'attentat de Karachi,Cherbourg-Octeville,Manche ,France,13/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Rennes,Ille-et-Vilaine ,France,29/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Colmar,nc,France,31/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,01/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Clermont-Ferrand,Puy-de-Dôme ,France,04/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Marseille,Bouches-du-Rhône ,France,06/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne,France,08/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Meaux,Seine-et-Marne ,France,11/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Lille,Nord ,France,11/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,Cérémonie du 18 juin au Mont-Valérien,Suresnes,Hauts-de-Seine ,France,18/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Madrid,nc,Espagne,20/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet mondial sur le développement durable et l'environnement,Rennes,Ille-et-Vilaine ,France,01/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Londres,nc,Royaume-Uni,14/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,Le Puy-du-Fou,Les Epesses,Vendée ,France,26/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,Visite du centre de loisirs des bords de Marne,Saint-Maurice,Val-de-Marne ,France,29/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,79èmes consultations franco-allemandes,Schwerin,nc,Allemagne,30/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Combloux,Haute-Savoie ,France,07/08/2002,2002
Premier ministre,Jean-Pierre Raffarin,Rencontre avec Tony Blair,Caillac,Lot,France,12/08/2002,2002
Premier ministre,Jean-Pierre Raffarin,16ème tour cycliste du Poitou-Charentes et de la Vienne,Poitiers,Vienne,France,30/08/2002,2002
Premier ministre,Jean-Pierre Raffarin,Inauguration de la Foire européenne et réunion de décentralisation,Strasbourg,Bas-Rhin ,France,06/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet des Premiers ministres,Cagliari,nc,Italie,09/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Inauguration du « space »,Rennes,Ille-et-Vilaine ,France,10/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Visite de la force d'action navale,Hyères,Var ,France,14/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Bruxelles,nc,Belgique,16/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Accueil du détachement de l'armée de l'air de Manas (Kirghizistan) sur la base aérienne 113,Nancy,Meurthe-et-Moselle ,France,04/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,Modelexpo,Neuville-Saint-Vaast,Pas-de-Calais,France,04/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,Colloque sur la création d'entreprise,Lyon,Rhône ,France,07/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Lisbonne,nc,Portugal,17/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,Assises des conseillers généraux,Strasbourg,Bas-Rhin ,France,31/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Madrid,nc,Espagne,01/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Etats généraux des sports,Besançon,Doubs ,France,04/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet franco-italien,Rome,nc,Italie,07/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne,France,08/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Congrès de l'UMP,Le Bourget,Seine-Saint-Denis,France,17/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Séminaire franco-russe,Toulouse,Haute-Garonne ,France,18/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,30ème anniversaire de l'usine Marie Surgelés,Mirebeau,Vienne ,France,22/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Assises des libertés locales,Lille,Nord ,France,25/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet franco-espagnol ,Malaga,nc,Espagne,26/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Visite de l'école maternelle,Domont,Val-d'Oise ,France,29/11/2002,2002
Premier ministre,Jean-Pierre Raffarin,Forum Europe,Orléans,Loiret ,France,06/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,Assises des libertés locales en Basse-Normandie,Caen,Calvados ,France,07/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,Inauguration du marché de Noël,Richelieu,Indre-et-Loire ,France,08/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Nimes,Gard ,France,09/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet élargi du Parti populaire européen (PPE),Copenhague,nc,Danemark,12/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Bordeaux,Gironde ,France,15/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,2ème assise de la promotion des investissements internationaux au Futuroscope,Poitiers,Vienne ,France,20/12/2002,2002
Premier ministre,Jean-Pierre Raffarin,Déplacement privé ,Châtel-Guyon,Puy-de-Dome,France,24/12/2002,2002
