Fonction,Label,Motif,Lieu,Pays,Dates,Annee 
Président de la République,Jacques Chirac,Conseil européen,Barcelone,Espagne,15/03/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,08/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,Cérémonie officielle d'obsèques des victimes de l'attentat de Karachi,Cherbourg-Octeville,France,13/05/2002,2002
Président de la République,Jacques Chirac,Sommet de l'UE-Amérique latine et Caraïbes,Madrid,Espagne,17/05/2002,2002
Président de la République,Jacques Chirac,Réunion du conseil OTAN-Russie ,Rome,Italie,28/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Rennes,France,29/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Colmar,France,31/05/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,01/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Clermont-Ferrand,France,04/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Marseille,France,06/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,France,08/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Meaux,France,11/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Lille,France,11/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,Cérémonie du 18 juin au Mont-Valérien,Suresnes,France,18/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Madrid,Espagne,20/06/2002,2002
Président de la République,Jacques Chirac,Conseil européen,Séville,Espagne,20/06/2002,2002
Président de la République,Jacques Chirac,Sommet du G8,Calgary,Canada,26/06/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet mondial sur le développement durable et l'environnement,Rennes,France,01/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Londres,Royaume-Uni,14/07/2002,2002
Président de la République,Jacques Chirac,Sommet Russie/France,Sotchi,Russie,19/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,Le Puy-du-Fou,Les Epesses,France,26/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,Visite du centre de loisirs des bords de Marne,Saint-Maurice,France,29/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,79èmes consultations franco-allemandes,Schwerin,Allemagne,30/07/2002,2002
Président de la République,Jacques Chirac,79èmes consultations franco-allemandes,Schwerin,Allemagne,30/07/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Combloux,France,07/08/2002,2002
Premier ministre,Jean-Pierre Raffarin,Rencontre avec Tony Blair,Caillac,France,12/08/2002,2002
Premier ministre,Jean-Pierre Raffarin,16ème tour cycliste du Poitou-Charentes et de la Vienne,Poitiers,France,30/08/2002,2002
Président de la République,Jacques Chirac,nc,N'Djamena,Tchad,01/09/2002,2002
Président de la République,Jacques Chirac,Sommet mondial sur le développement durable,Johannesburg,Afrique du Sud,02/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Inauguration de la Foire européenne et réunion de décentralisation,Strasbourg,France,06/09/2002,2002
Président de la République,Jacques Chirac,Rencontre franco-allemande,Hanovre,Allemagne,07/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Sommet des Premiers ministres,Cagliari,Italie,09/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Inauguration du « space »,Rennes,France,10/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Visite de la force d'action navale,Hyères,France,14/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Bruxelles,Belgique,16/09/2002,2002
Premier ministre,Jean-Pierre Raffarin,Accueil du détachement de l'armée de l'air de Manas (Kirghizistan) sur la base aérienne 113,Nancy,France,04/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,Modelexpo,Neuville-Saint-Vaast,France,04/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,Colloque sur la création d'entreprise,Lyon,France,07/10/2002,2002
Président de la République,Jacques Chirac,nc,Alexandrie,Égypte,16/10/2002,2002
Premier ministre,Jean-Pierre Raffarin,nc,Lisbonne,Portugal,17/10/2002,2002
Président de la République,Jacques Chirac,Sommet de la francophonie,Beyrouth,Liban,18/10/2002,2002
Président de la République,Jacques Chirac,nc,Amman,Jordanie,20/10/2002,2002
Président de la République,Jacques Chirac,nc,Damas,Syrie,20/10/2002,2002
