ID,label,role,weight,lat,lng
001P,Jacques Chirac,Président,64,48.870361,2.316538
001M,Jean-Pierre Raffarin,Premier Ministre,239,48.854714,2.320736
002M,Dominique de Villepin,Premier Ministre,65,48.854714,2.320736
001V,Amman,Ville,1,31.58369,36.33335
002V,Barcelone,Ville,4,41.66667,2.0
003V,Calgary,Ville,1,51.05011,-114.08529
004V,Berlin,Ville,12,52.52437,13.41053
005V,Schwerin,Ville,2,53.62937,11.41316
006V,Madrid,Ville,6,40.40225,-3.71029
007V,Bruxelles,Ville,20,50.85045,4.34878
008V,Séville,Ville,1,37.38283,-5.97317
009V,Damas,Ville,1,48.2105317,6.2619662
010V,Alexandrie,Ville,1,31.21564,29.95527
011V,Beyrouth,Ville,1,33.88894,35.49442
012V,Rome,Ville,6,44.2727198,3.2156185
013V,Hanovre,Ville,1,52.37052,9.73322
014V,N'Djamena,Ville,1,12.4809471,15.4392363
015V,Stochi,Ville,1,43.5854823,39.723109
016V,Johannesburg,Ville,1,-26.20227,28.04363
017V,Prague,Ville,1,50.08804,14.42076
018V,Tunis,Ville,2,46.1703309,1.8684675
019V,Tolède,Ville,1,39.83333,-4.0
020V,Rabat,Ville,3,42.8558445,1.5534997
021V,Saint-Petersbourg,Ville,4,59.93863,30.31413
022V,Dresde,Ville,1,51.05089,13.73832
023V,New-York,Ville,2,43.00035,-75.4999
024V,Alger,Ville,1,36.74053,3.00957
025V,Wroclaw,Ville,1,51.1,17.03333
026V,Kuala Lumpur,Ville,1,3.1412,101.68653
027V,Moscou,Ville,2,48.8908151,2.4051273
028V,Budapest,Ville,2,47.49801,19.03991
029V,Tokyo,Ville,1,35.6895,139.69171
030V,Singapour,Ville,1,1.28967,103.85007
031V,Antananarivo,Ville,1,-18.91368,47.53613
032V,Bamako,Ville,1,12.6472717,-8.0014788
033V,Le Caire,Ville,3,30.06263,31.24967
034V,Suresnes,Ville,1,48.870456,2.2242581
035V,Ryad,Ville,1,48.8122584,2.3007075
036V,Pekin,Ville,1,48.8051159,2.4191358
037V,Bangkok,Ville,2,13.75398,100.50144
038V,Marseille,Ville,3,49.5755135,1.955357
039V,New Delhi,Ville,1,28.63576,77.22445
040V,Brasilia,Ville,1,15.870397255032724,-47.93179175819988
041V,Santiago,Ville,1,-33.45694,-70.64827
042V,Cannes,Ville,1,43.5515494,7.0122218
043V,Kaboul,Ville,1,34.52813,69.17233
044V,Erevan,Ville,1,40.18111,44.51361
045V,Colmar,Ville,1,48.0185626,7.3296846
046V,Poitiers,Ville,27,47.3970082,0.7674174
047V,Lille,Ville,3,50.6328076,3.0706587
048V,Copenhague,Ville,1,55.67660903930664,12.567834854125977
049V,Toulouse,Ville,5,43.6044499,1.444494
050V,Richelieu,Ville,1,45.6834643,-73.187546
051V,Rennes,Ville,4,42.9182305,2.3192026
